,Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source
61,Benin,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,33.132561,DHS 2017-18
62,Benin,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,44.974689,DHS 2017-18
63,Benin,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,57.51981,DHS 2017-18
64,Benin,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,75.793213,DHS 2017-18
65,Benin,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,40.52256,DHS 2017-18
66,Benin,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,58.064789,DHS 2017-18
67,Benin,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,47.672329,DHS 2017-18
70,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,70.400002,MICS 2019
71,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,79.900002,MICS 2019
72,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,86.599998,MICS 2019
73,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,86.699997,MICS 2019
74,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,91.5,MICS 2019
75,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,82.5,MICS 2019
76,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,83.0,MICS 2019
77,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,82.599998,MICS 2019
80,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,99.800003,MICS 2011-12
81,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,100.0,MICS 2011-12
82,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,98.0,MICS 2011-12
83,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,100.0,MICS 2011-12
84,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,100.0,MICS 2011-12
85,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,99.400002,MICS 2011-12
86,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,100.0,MICS 2011-12
87,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,99.599998,MICS 2011-12
90,Belarus,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,100.0,MICS 2019
91,Belarus,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,100.0,MICS 2019
92,Belarus,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,100.0,MICS 2019
93,Belarus,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,100.0,MICS 2019
94,Belarus,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,99.63266,MICS 2019
95,Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,100.0,MICS 2019
96,Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,99.896797,MICS 2019
97,Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,99.932289,MICS 2019
100,Belize,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,89.099998,MICS 2015-16
101,Belize,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,93.900002,MICS 2015-16
102,Belize,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,97.5,MICS 2015-16
103,Belize,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,99.599998,MICS 2015-16
104,Belize,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,98.900002,MICS 2015-16
105,Belize,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,94.699997,MICS 2015-16
106,Belize,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,96.699997,MICS 2015-16
107,Belize,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,95.400002,MICS 2015-16
110,Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,85.663094,Encuesta de DemografÃ­a y Salud (EDSA) 2016
111,Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,95.802567,Encuesta de DemografÃ­a y Salud (EDSA) 2016
112,Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,92.354889,Encuesta de DemografÃ­a y Salud (EDSA) 2016
115,Brazil,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,92.300003,PNAD 2019
116,Brazil,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,95.900002,PNAD 2019
117,Brazil,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,97.300003,PNAD 2019
118,Brazil,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,98.0,PNAD 2019
119,Brazil,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,98.599998,PNAD 2019
120,Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,92.099998,PNAD 2019
121,Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,96.199997,PNAD 2019
122,Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,95.5,PNAD 2019
125,Barbados,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,96.900002,MICS 2012
126,Barbados,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,98.400002,MICS 2012
127,Barbados,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,100.0,MICS 2012
128,Barbados,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,98.900002,MICS 2012
129,Barbados,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,100.0,MICS 2012
130,Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,98.800003,MICS 2012
131,Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,99.0,MICS 2012
132,Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,98.900002,MICS 2012
135,Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,92.599998,Botswana Demographic Survey 2017
136,Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,98.199997,Botswana Demographic Survey 2017
137,Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,96.400002,Botswana Demographic Survey 2017
140,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,8.8413658,MICS 2018-19
141,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,7.6387458,MICS 2018-19
142,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,13.30392,MICS 2018-19
143,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,30.97611,MICS 2018-19
144,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,56.812359,MICS 2018-19
145,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,10.07261,MICS 2018-19
146,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,48.535179,MICS 2018-19
147,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,26.755501,MICS 2018-19
150,Chile,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2017.0,96.338058,CASEN 2017
151,Chile,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2017.0,96.279938,CASEN 2017
152,Chile,Completion rate for children of primary school age,Total,Primary education,Total,Total,2017.0,96.28756,CASEN 2017
155,China,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,96.199997,National Population Sample Survey 2015
156,China,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,98.0,National Population Sample Survey 2015
157,China,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,97.099998,National Population Sample Survey 2015
160,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,23.9,MICS 2016
161,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,49.0,MICS 2016
162,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,53.900002,MICS 2016
163,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,66.599998,MICS 2016
164,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,74.599998,MICS 2016
165,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,39.400002,MICS 2016
166,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,69.900002,MICS 2016
167,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,56.400002,MICS 2016
170,Cameroon,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,33.422569,DHS 2018
171,Cameroon,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,64.066689,DHS 2018
172,Cameroon,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,79.239357,DHS 2018
173,Cameroon,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,90.636147,DHS 2018
174,Cameroon,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,95.607826,DHS 2018
175,Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,58.41993,DHS 2018
176,Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,88.778961,DHS 2018
177,Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,74.272621,DHS 2018
180,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,41.619881,MICS 2017-18
181,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,53.444271,MICS 2017-18
182,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,62.734791,MICS 2017-18
183,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,74.536469,MICS 2017-18
184,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,92.833794,MICS 2017-18
185,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,53.14864,MICS 2017-18
186,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,81.134377,MICS 2017-18
187,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,66.674828,MICS 2017-18
190,Congo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,41.535511,MICS 2014-15
191,Congo,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,71.363297,MICS 2014-15
192,Congo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,85.237137,MICS 2014-15
193,Congo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,92.464653,MICS 2014-15
194,Congo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,95.953079,MICS 2014-15
195,Congo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,54.92709,MICS 2014-15
196,Congo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,89.501907,MICS 2014-15
197,Congo,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,79.976921,MICS 2014-15
200,Colombia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2015.0,84.400002,DHS 2015
201,Colombia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2015.0,92.099998,DHS 2015
202,Colombia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2015.0,95.400002,DHS 2015
203,Colombia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2015.0,97.599998,DHS 2015
204,Colombia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2015.0,98.300003,DHS 2015
205,Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2015.0,86.5,DHS 2015
206,Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2015.0,95.400002,DHS 2015
207,Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2015.0,93.0,DHS 2015
210,Comoros,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,49.799999,DHS 2012
211,Comoros,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,71.0,DHS 2012
212,Comoros,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,80.199997,DHS 2012
213,Comoros,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,82.5,DHS 2012
214,Comoros,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,91.099998,DHS 2012
215,Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,71.099998,DHS 2012
216,Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,85.900002,DHS 2012
217,Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,76.0,DHS 2012
220,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,94.878838,MICS 2018
221,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,98.939796,MICS 2018
222,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,98.172302,MICS 2018
223,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,99.432426,MICS 2018
224,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,100.0,MICS 2018
225,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,97.851913,MICS 2018
226,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,98.307243,MICS 2018
227,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,98.153358,MICS 2018
230,Cuba,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,99.296417,MICS 2019
231,Cuba,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,99.392578,MICS 2019
232,Cuba,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,99.968727,MICS 2019
233,Cuba,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,99.888969,MICS 2019
234,Cuba,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,99.865044,MICS 2019
235,Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,99.472397,MICS 2019
236,Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,99.787148,MICS 2019
237,Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,99.658493,MICS 2019
240,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2019.0,78.63858,MICS 2019
241,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,2019.0,89.770088,MICS 2019
242,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2019.0,92.400291,MICS 2019
243,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2019.0,94.928833,MICS 2019
244,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2019.0,96.897141,MICS 2019
245,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,88.347214,MICS 2019
246,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,91.401787,MICS 2019
247,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,90.565987,MICS 2019
250,Algeria,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2020.0,87.733833,MICS 2019
251,Algeria,Completion rate for children of primary school age,Total,Primary education,Second,Total,2020.0,93.385323,MICS 2019
252,Algeria,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2020.0,96.337517,MICS 2019
253,Algeria,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2020.0,97.667519,MICS 2019
254,Algeria,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2020.0,98.906937,MICS 2019
255,Algeria,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2020.0,92.381554,MICS 2019
256,Algeria,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2020.0,95.936897,MICS 2019
257,Algeria,Completion rate for children of primary school age,Total,Primary education,Total,Total,2020.0,94.708633,MICS 2019
260,Ecuador,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2019.0,97.5,GEPH-ENEMDU-DICIEMBRE - 2019
261,Ecuador,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2019.0,98.800003,GEPH-ENEMDU-DICIEMBRE - 2019
262,Ecuador,Completion rate for children of primary school age,Total,Primary education,Total,Total,2019.0,98.199997,GEPH-ENEMDU-DICIEMBRE - 2019
265,Egypt,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2014.0,87.301697,DHS 2014
266,Egypt,Completion rate for children of primary school age,Total,Primary education,Second,Total,2014.0,88.819183,DHS 2014
267,Egypt,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2014.0,91.344856,DHS 2014
268,Egypt,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2014.0,92.177567,DHS 2014
269,Egypt,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2014.0,97.339684,DHS 2014
270,Egypt,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2014.0,90.16452,DHS 2014
271,Egypt,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2014.0,92.58149,DHS 2014
272,Egypt,Completion rate for children of primary school age,Total,Primary education,Total,Total,2014.0,91.040314,DHS 2014
275,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2016.0,25.51828,DHS 2016
276,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2016.0,30.484261,DHS 2016
277,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2016.0,40.557018,DHS 2016
278,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2016.0,48.946529,DHS 2016
279,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2016.0,74.783203,DHS 2016
280,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2016.0,39.85725,DHS 2016
281,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2016.0,77.542603,DHS 2016
282,Ethiopia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2016.0,47.4454,DHS 2016
285,Gabon,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2012.0,32.904591,DHS 2012
286,Gabon,Completion rate for children of primary school age,Total,Primary education,Second,Total,2012.0,67.06813,DHS 2012
287,Gabon,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2012.0,74.880501,DHS 2012
288,Gabon,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2012.0,80.806557,DHS 2012
289,Gabon,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2012.0,90.511627,DHS 2012
290,Gabon,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2012.0,33.30455,DHS 2012
291,Gabon,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2012.0,76.240303,DHS 2012
292,Gabon,Completion rate for children of primary school age,Total,Primary education,Total,Total,2012.0,70.586723,DHS 2012
295,Georgia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,100.0,MICS 2018
296,Georgia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,100.0,MICS 2018
297,Georgia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,99.794388,MICS 2018
298,Georgia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,100.0,MICS 2018
299,Georgia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,99.7864,MICS 2018
300,Georgia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,99.986923,MICS 2018
301,Georgia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,99.852676,MICS 2018
302,Georgia,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,99.900002,MICS 2018
305,Ghana,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,52.168629,MICS 2017-18
306,Ghana,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,65.158371,MICS 2017-18
307,Ghana,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,74.63858,MICS 2017-18
308,Ghana,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,80.707329,MICS 2017-18
309,Ghana,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,85.884789,MICS 2017-18
310,Ghana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,64.890602,MICS 2017-18
311,Ghana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,78.744102,MICS 2017-18
312,Ghana,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,70.957199,MICS 2017-18
315,Guinea,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2018.0,14.61543,DHS 2018
316,Guinea,Completion rate for children of primary school age,Total,Primary education,Second,Total,2018.0,28.41132,DHS 2018
317,Guinea,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2018.0,33.595341,DHS 2018
318,Guinea,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,2018.0,55.450699,DHS 2018
319,Guinea,Completion rate for children of primary school age,Total,Primary education,Highest,Total,2018.0,73.360184,DHS 2018
320,Guinea,Completion rate for children of primary school age,Total,Primary education,Total,Rural,2018.0,27.22953,DHS 2018
321,Guinea,Completion rate for children of primary school age,Total,Primary education,Total,Urban,2018.0,66.973038,DHS 2018
322,Guinea,Completion rate for children of primary school age,Total,Primary education,Total,Total,2018.0,44.649391,DHS 2018
325,Gambia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,2013.0,49.490662,DHS 2013
326,Gambia,Completion rate for children of primary school age,Total,Primary education,Second,Total,2013.0,53.73605,DHS 2013
327,Gambia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,2013.0,51.292912,DHS 2013
