Country,Indicator,Gender,Education_Level,Wealth_Quintile,Residence,Data_Year,Percentage,Data_Source,Happiness_Rank,Country_Code,GDP_PerCapita,Region,Income_Group
Albania,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2018,79.857063,DHS 2017-18,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2018,76.226807,DHS 2017-18,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2018,97.412567,DHS 2017-18,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2018,97.929047,DHS 2017-18,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2020,1.93244,UIS,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2020,5.54032,UIS,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,1.30401,UIS,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,5.47868,UIS,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,15.10066,UIS,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Albania,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,21.92466,UIS,90.0,ALB,6492.872012,Europe & Central Asia,Upper middle income
Argentina,Completion rate for children of primary school age,Female,Primary,Total,Total,2020,98.040077,MICS 2019-20,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Completion rate for children of primary school age,Male,Primary,Total,Total,2020,95.666924,MICS 2019-20,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2020,65.963852,MICS 2019-20,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2020,54.310711,MICS 2019-20,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,84.934196,MICS 2019-20,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,74.320808,MICS 2019-20,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2019,1.2537,UIS,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2019,0.63537,UIS,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2019,6.61321,UIS,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Argentina,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2019,14.56729,UIS,57.0,ARG,10636.1202,Latin America & Caribbean,Upper middle income
Armenia,Completion rate for children of primary school age,Female,Primary,Total,Total,2016,99.11264,DHS 2015-16,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Completion rate for children of primary school age,Male,Primary,Total,Total,2016,99.389252,DHS 2015-16,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2016,79.394547,DHS 2015-16,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2016,68.794182,DHS 2015-16,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2016,99.152008,DHS 2015-16,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2016,94.619598,DHS 2015-16,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2020,10.40104,UIS,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2020,10.54438,UIS,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,8.62643,UIS,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,10.78141,UIS,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,1.435,UIS,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Armenia,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,13.18625,UIS,82.0,ARM,4966.513471,Europe & Central Asia,Upper middle income
Burundi,Completion rate for children of primary school age,Female,Primary,Total,Total,2017,54.099998,DHS 2016-17,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Completion rate for children of primary school age,Male,Primary,Total,Total,2017,46.0,DHS 2016-17,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2017,3.4000001,DHS 2016-17,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2017,3.5999999,DHS 2016-17,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2017,19.4,DHS 2016-17,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2017,25.700001,DHS 2016-17,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2021,8.42872,UIS,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2021,11.77477,UIS,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2021,26.31855,UIS,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2021,32.98969,UIS,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2021,59.00851,UIS,,BDI,221.4776762,Sub-Saharan Africa,Low income
Burundi,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2021,64.59746,UIS,,BDI,221.4776762,Sub-Saharan Africa,Low income
Benin,Completion rate for children of primary school age,Female,Primary,Total,Total,2018,44.196468,DHS 2017-18,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Completion rate for children of primary school age,Male,Primary,Total,Total,2018,51.01598,DHS 2017-18,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2018,5.4404368,DHS 2017-18,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2018,12.06018,DHS 2017-18,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2018,13.41031,DHS 2017-18,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2018,25.0865,DHS 2017-18,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2020,9.6247,UIS,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2020,3.90597,UIS,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,46.17726,UIS,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,38.07798,UIS,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,68.90571,UIS,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Benin,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,58.68436,UIS,115.0,BEN,1319.154995,Sub-Saharan Africa,Lower middle income
Bangladesh,Completion rate for children of primary school age,Female,Primary,Total,Total,2019,89.099998,MICS 2019,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Completion rate for children of primary school age,Male,Primary,Total,Total,2019,76.300003,MICS 2019,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2019,27.299999,MICS 2019,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2019,31.5,MICS 2019,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2019,70.5,MICS 2019,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2019,59.200001,MICS 2019,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2017,25.43216,UIS,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2017,40.49489,UIS,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,33.4591,UIS,94.0,BGD,2457.92488,South Asia,Lower middle income
Bangladesh,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,40.16995,UIS,94.0,BGD,2457.92488,South Asia,Lower middle income
Bosnia and Herzegovina,Completion rate for children of primary school age,Female,Primary,Total,Total,2012,99.900002,MICS 2011-12,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Completion rate for children of primary school age,Male,Primary,Total,Total,2012,99.199997,MICS 2011-12,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2012,92.0,MICS 2011-12,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2012,92.300003,MICS 2011-12,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2012,96.900002,MICS 2011-12,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2012,96.800003,MICS 2011-12,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2018,13.34897,UIS,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2018,13.2238,UIS,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2018,7.07804,UIS,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2018,5.31796,UIS,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,16.77155,UIS,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,20.26935,UIS,67.0,BIH,7143.310548,Europe & Central Asia,Upper middle income
Belarus,Completion rate for children of primary school age,Female,Primary,Total,Total,2020,100.0,MICS 2019,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Completion rate for children of primary school age,Male,Primary,Total,Total,2020,99.864349,MICS 2019,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2020,98.489067,MICS 2019,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2020,97.82029,MICS 2019,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,98.784286,MICS 2019,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,98.814774,MICS 2019,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2020,6.02934,UIS,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2020,4.50552,UIS,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2018,0.81306,UIS,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2018,1.28882,UIS,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,4.58753,UIS,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belarus,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,7.7514,UIS,65.0,BLR,7302.257794,Europe & Central Asia,Upper middle income
Belize,Completion rate for children of primary school age,Female,Primary,Total,Total,2016,96.0,MICS 2015-16,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Completion rate for children of primary school age,Male,Primary,Total,Total,2016,94.800003,MICS 2015-16,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2016,50.700001,MICS 2015-16,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2016,47.5,MICS 2015-16,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2016,65.5,MICS 2015-16,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2016,54.799999,MICS 2015-16,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2014,1.64405,UIS,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2014,0.52959,UIS,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,16.0596,UIS,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,14.46601,UIS,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,27.73354,UIS,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Belize,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,34.78694,UIS,,BLZ,6228.267309,Latin America & Caribbean,Upper middle income
Bolivia (Plurinational State of),Completion rate for children of primary school age,Female,Primary,Total,Total,2016,93.387756,Encuesta de DemografÃ­a y Salud (EDSA) 2016,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Completion rate for children of primary school age,Male,Primary,Total,Total,2016,91.487007,Encuesta de DemografÃ­a y Salud (EDSA) 2016,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2016,65.402481,Encuesta de DemografÃ­a y Salud (EDSA) 2016,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2016,66.120232,Encuesta de DemografÃ­a y Salud (EDSA) 2016,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2016,81.559921,Encuesta de DemografÃ­a y Salud (EDSA) 2016,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2016,84.253906,Encuesta de DemografÃ­a y Salud (EDSA) 2016,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2020,4.69231,UIS,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2020,5.0999,UIS,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,11.46017,UIS,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,11.71913,UIS,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,21.50324,UIS,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Bolivia (Plurinational State of),Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,22.11464,UIS,71.0,BOL,3345.196589,Latin America & Caribbean,Lower middle income
Brazil,Completion rate for children of primary school age,Female,Primary,Total,Total,2019,96.5,PNAD 2019,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Completion rate for children of primary school age,Male,Primary,Total,Total,2019,94.599998,PNAD 2019,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2019,74.699997,PNAD 2019,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2019,64.699997,PNAD 2019,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2019,88.599998,PNAD 2019,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2019,80.900002,PNAD 2019,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2015,0.57631,UIS,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2015,0.8555,UIS,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2019,1.21044,UIS,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2019,3.43146,UIS,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2019,14.31466,UIS,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Brazil,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2019,15.63811,UIS,38.0,BRA,7507.160971,Latin America & Caribbean,Upper middle income
Barbados,Completion rate for children of primary school age,Female,Primary,Total,Total,2012,99.199997,MICS 2012,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Completion rate for children of primary school age,Male,Primary,Total,Total,2012,98.699997,MICS 2012,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Completion rate for youth of upper secondary education school age,Female,Upper Secondary,Not Available,Not Available,2012,96.900002,MICS 2012,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Completion rate for youth of upper secondary education school age,Male,Upper Secondary,Not Available,Not Available,2012,91.199997,MICS 2012,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Completion rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2012,97.900002,MICS 2012,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Completion rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2012,98.0,MICS 2012,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Out-of-school rate for children of primary school age,Female,Primary,Not Available,Not Available,2020,3.34526,UIS,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Out-of-school rate for children of primary school age,Male,Primary,Not Available,Not Available,2020,1.97899,UIS,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Out-of-school rate for adolescents of lower secondary school age,Female,Lower Secondary,Not Available,Not Available,2020,3.74291,UIS,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Out-of-school rate for adolescents of lower secondary school age,Male,Lower Secondary,Not Available,Not Available,2020,3.58638,UIS,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Out-of-school rate for youth of upper secondary school age,Female,Upper Secondary,Not Available,Not Available,2020,4.24077,UIS,,BRB,17225.4623,Latin America & Caribbean,High income
Barbados,Out-of-school rate for youth of upper secondary school age,Male,Upper Secondary,Not Available,Not Available,2020,7.9036,UIS,,BRB,17225.4623,Latin America & Caribbean,High income
Botswana,Completion rate for children of primary school age,Female,Primary,Total,Total,2017,97.699997,Botswana Demographic Survey 2017,142.0,BWA,6805.221274,Sub-Saharan Africa,Upper middle income
Botswana,Completion rate for children of primary school age,Male,Primary,Total,Total,2017,95.099998,Botswana Demographic Survey 2017,142.0,BWA,6805.221274,Sub-Saharan Africa,Upper middle income
