,Percentage,Happiness_Rank,GDP_PerCapita,Clusters,Cluster,Gender
445,91.545998,136,2256.590409,1,Low GDP PerCapita,Male
457,77.900002,107,4775.377454,3,Mid-Low GDP PerCapita,Male
463,96.043388,134,4103.258966,3,Mid-Low GDP PerCapita,Male
475,99.800003,40,10373.78979,0,Mid-High GDP PerCapita,Male
483,76.599998,119,2081.799855,1,Low GDP PerCapita,Male
489,99,64,1276.700365,1,Low GDP PerCapita,Male
499,68.199997,114,1625.23502,1,Low GDP PerCapita,Male
517,83.543762,95,2535.623432,1,Low GDP PerCapita,Male
529,35.900002,97,675.6631858,1,Low GDP PerCapita,Male
553,98.521729,127,4013.687657,3,Mid-Low GDP PerCapita,Male
565,68.599998,141,1094.098185,1,Low GDP PerCapita,Male
577,98.722054,62,5230.661733,3,Mid-Low GDP PerCapita,Male
585,51.599998,128,500.511032,1,Low GDP PerCapita,Male
595,97.5,46,10045.6805,0,Mid-High GDP PerCapita,Male
605,97.024582,89,6694.641126,0,Mid-High GDP PerCapita,Male
613,49.700001,123,873.7948624,1,Low GDP PerCapita,Male
625,81.712029,126,1209.926942,1,Low GDP PerCapita,Male
635,94.519417,75,9465.703999,0,Mid-High GDP PerCapita,Male
647,96.326317,68,4566.140154,3,Mid-Low GDP PerCapita,Male
659,68.495567,133,2166.046799,1,Low GDP PerCapita,Male
671,42.700001,138,634.8356601,1,Low GDP PerCapita,Male
681,75,124,4865.557765,3,Mid-Low GDP PerCapita,Male
691,34.82,104,590.6294548,1,Low GDP PerCapita,Male
703,70.5,118,2065.749068,1,Low GDP PerCapita,Male
709,80.698082,84,1208.218534,1,Low GDP PerCapita,Male
719,64.035004,121,1505.010193,1,Low GDP PerCapita,Male
725,94.800003,37,14617.60448,2,High GDP PerCapita,Male
737,94.900002,74,6621.574336,0,Mid-High GDP PerCapita,Male
747,88.540947,60,3460.530963,3,Mid-Low GDP PerCapita,Male
765,92.599998,73,5891.499965,3,Mid-Low GDP PerCapita,Male
773,99.437401,122,3663.969055,3,Mid-Low GDP PerCapita,Male
785,47.900002,143,822.3479886,1,Low GDP PerCapita,Male
809,43.69796,103,1636.893209,1,Low GDP PerCapita,Male
821,63.299999,140,480.0392113,1,Low GDP PerCapita,Male
833,84.300003,49,4551.184661,3,Mid-Low GDP PerCapita,Male
843,100,43,9230.178316,0,Mid-High GDP PerCapita,Male
879,64.168999,125,3978.403528,3,Mid-Low GDP PerCapita,Male
903,30.330379,130,685.6902841,1,Low GDP PerCapita,Male
915,83.03212,135,973.2061291,1,Low GDP PerCapita,Male
927,98.487228,61,7066.190546,0,Mid-High GDP PerCapita,Male
935,99.029587,83,897.0475103,1,Low GDP PerCapita,Male
973,93.599998,120,3807.13915,3,Mid-Low GDP PerCapita,Male
979,99.025284,112,9661.235975,0,Mid-High GDP PerCapita,Male
1003,75.199997,139,1099.287598,1,Low GDP PerCapita,Male
1015,39.017052,117,883.8920323,1,Low GDP PerCapita,Male
1027,100,98,4835.571777,3,Mid-Low GDP PerCapita,Male
1039,96.375938,30,17313.18835,2,High GDP PerCapita,Male
1051,96.300003,77,3756.489121,3,Mid-Low GDP PerCapita,Male
1077,94.72361,91,7055.044776,0,Mid-High GDP PerCapita,Male
1089,70.944771,137,1137.343633,1,Low GDP PerCapita,Male
1097,86.400002,144,1773.920411,1,Low GDP PerCapita,Male
1107,98.1,32,5269.783901,3,Mid-Low GDP PerCapita,Male
0,40.200001,146,368.7546142,0,Low GDP PerCapita,Female
14,95.698372,90,6492.872012,1,Mid-High GDP PerCapita,Female
26,98.040077,57,10636.1202,1,Mid-High GDP PerCapita,Female
36,99.11264,82,4966.513471,3,Mid-Low GDP PerCapita,Female
60,44.196468,115,1319.154995,0,Low GDP PerCapita,Female
72,89.099998,94,2457.92488,0,Low GDP PerCapita,Female
82,99.900002,67,7143.310548,1,Mid-High GDP PerCapita,Female
94,100,65,7302.257794,1,Mid-High GDP PerCapita,Female
118,93.387756,71,3345.196589,3,Mid-Low GDP PerCapita,Female
130,96.5,38,7507.160971,1,Mid-High GDP PerCapita,Female
154,97.699997,142,6805.221274,1,Mid-High GDP PerCapita,Female
176,96.917068,44,16265.09598,2,High GDP PerCapita,Female
188,97,72,12556.33312,2,High GDP PerCapita,Female
194,53.099998,88,2549.041297,0,Low GDP PerCapita,Female
206,73.62265,102,1666.932734,0,Low GDP PerCapita,Female
224,81.669937,99,2290.382891,0,Low GDP PerCapita,Female
232,94.699997,66,6104.136709,3,Mid-Low GDP PerCapita,Female
244,76.800003,116,1577.471027,0,Low GDP PerCapita,Female
256,98.637871,23,12472.44373,2,High GDP PerCapita,Female
280,93.310112,69,8476.752157,1,Mid-High GDP PerCapita,Female
292,96.471619,96,3690.627878,3,Mid-Low GDP PerCapita,Female
298,98.400002,76,5965.132871,3,Mid-Low GDP PerCapita,Female
308,91.557068,129,3698.834981,3,Mid-Low GDP PerCapita,Female
318,47.801689,131,925.077428,0,Low GDP PerCapita,Female
330,74.703552,106,8635.325694,1,Mid-High GDP PerCapita,Female
342,99.908241,105,5023.27438,3,Mid-Low GDP PerCapita,Female
354,73.145287,111,2363.299296,0,Low GDP PerCapita,Female
366,38.596241,109,1189.175999,0,Low GDP PerCapita,Female
378,60.073891,93,772.1523951,0,Low GDP PerCapita,Female
396,76.219162,39,5025.542291,3,Mid-Low GDP PerCapita,Female
414,89.190758,55,2771.717461,0,Low GDP PerCapita,Female
432,97.643188,87,4332.709281,3,Mid-Low GDP PerCapita,Female
444,91.347,136,2256.590409,0,Low GDP PerCapita,Female
456,73.199997,107,4775.377454,3,Mid-Low GDP PerCapita,Female
462,96.932373,134,4103.258966,3,Mid-Low GDP PerCapita,Female
474,99.900002,40,10373.78979,1,Mid-High GDP PerCapita,Female
482,81.599998,119,2081.799855,0,Low GDP PerCapita,Female
488,99.5,64,1276.700365,0,Low GDP PerCapita,Female
498,78.800003,114,1625.23502,0,Low GDP PerCapita,Female
516,83.314621,95,2535.623432,0,Low GDP PerCapita,Female
528,32.599998,97,675.6631858,0,Low GDP PerCapita,Female
552,99.392143,127,4013.687657,3,Mid-Low GDP PerCapita,Female
564,91.800003,141,1094.098185,0,Low GDP PerCapita,Female
576,99.47757,62,5230.661733,3,Mid-Low GDP PerCapita,Female
584,60.200001,128,500.511032,0,Low GDP PerCapita,Female
594,98.300003,46,10045.6805,1,Mid-High GDP PerCapita,Female
604,99.641693,89,6694.641126,1,Mid-High GDP PerCapita,Female
612,40.700001,123,873.7948624,0,Low GDP PerCapita,Female
624,84.397919,126,1209.926942,0,Low GDP PerCapita,Female
634,97.518806,75,9465.703999,1,Mid-High GDP PerCapita,Female
646,98.451233,68,4566.140154,3,Mid-Low GDP PerCapita,Female
658,57.896851,133,2166.046799,0,Low GDP PerCapita,Female
670,51.5,138,634.8356601,0,Low GDP PerCapita,Female
680,86.099998,124,4865.557765,3,Mid-Low GDP PerCapita,Female
690,23.56843,104,590.6294548,0,Low GDP PerCapita,Female
702,70.699997,118,2065.749068,0,Low GDP PerCapita,Female
708,82.873337,84,1208.218534,0,Low GDP PerCapita,Female
718,55.420429,121,1505.010193,0,Low GDP PerCapita,Female
724,95.5,37,14617.60448,2,High GDP PerCapita,Female
736,95.099998,74,6621.574336,1,Mid-High GDP PerCapita,Female
746,95.155617,60,3460.530963,3,Mid-Low GDP PerCapita,Female
764,95.599998,73,5891.499965,3,Mid-Low GDP PerCapita,Female
772,99.576134,122,3663.969055,3,Mid-Low GDP PerCapita,Female
784,60.900002,143,822.3479886,0,Low GDP PerCapita,Female
808,50.44405,103,1636.893209,0,Low GDP PerCapita,Female
820,65.099998,140,480.0392113,0,Low GDP PerCapita,Female
832,88.599998,49,4551.184661,3,Mid-Low GDP PerCapita,Female
842,99.70034,43,9230.178316,1,Mid-High GDP PerCapita,Female
878,76.899361,125,3978.403528,3,Mid-Low GDP PerCapita,Female
902,23.310511,130,685.6902841,0,Low GDP PerCapita,Female
914,76.371941,135,973.2061291,0,Low GDP PerCapita,Female
926,98.797523,61,7066.190546,1,Mid-High GDP PerCapita,Female
934,97.845848,83,897.0475103,0,Low GDP PerCapita,Female
972,96.5,120,3807.13915,3,Mid-Low GDP PerCapita,Female
978,97.853722,112,9661.235975,1,Mid-High GDP PerCapita,Female
1002,83.5,139,1099.287598,0,Low GDP PerCapita,Female
1014,43.37463,117,883.8920323,0,Low GDP PerCapita,Female
1026,99.300003,98,4835.571777,3,Mid-Low GDP PerCapita,Female
1038,98.323517,30,17313.18835,2,High GDP PerCapita,Female
1050,97,77,3756.489121,3,Mid-Low GDP PerCapita,Female
1076,97.922318,91,7055.044776,1,Mid-High GDP PerCapita,Female
1088,73.33532,137,1137.343633,0,Low GDP PerCapita,Female
1096,91.599998,144,1773.920411,0,Low GDP PerCapita,Female
1106,98.8,32,5269.783901,3,Mid-Low GDP PerCapita,Female
