,Geographic area,Indicator,Sex,Education Level,Wealth Quintile,Residence,Unit of measure,TIME_PERIOD,OBS_VALUE,DATA_SOURCE
71,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,79.900002,MICS 2019
72,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,86.599998,MICS 2019
73,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,86.699997,MICS 2019
74,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,91.5,MICS 2019
75,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,82.5,MICS 2019
76,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,83.0,MICS 2019
77,Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,82.599998,MICS 2019
78,Bosnia and Herzegovina,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2012.0,99.900002,MICS 2011-12
79,Bosnia and Herzegovina,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2012.0,99.199997,MICS 2011-12
80,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2012.0,99.800003,MICS 2011-12
81,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2012.0,100.0,MICS 2011-12
82,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2012.0,98.0,MICS 2011-12
83,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2012.0,100.0,MICS 2011-12
84,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2012.0,100.0,MICS 2011-12
85,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2012.0,99.400002,MICS 2011-12
86,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2012.0,100.0,MICS 2011-12
87,Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2012.0,99.599998,MICS 2011-12
88,Belarus,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2020.0,100.0,MICS 2019
89,Belarus,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2020.0,99.864349,MICS 2019
90,Belarus,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2020.0,100.0,MICS 2019
91,Belarus,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2020.0,100.0,MICS 2019
92,Belarus,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2020.0,100.0,MICS 2019
93,Belarus,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2020.0,100.0,MICS 2019
94,Belarus,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2020.0,99.63266,MICS 2019
95,Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2020.0,100.0,MICS 2019
96,Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2020.0,99.896797,MICS 2019
97,Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2020.0,99.932289,MICS 2019
98,Belize,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,96.0,MICS 2015-16
99,Belize,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,94.800003,MICS 2015-16
100,Belize,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,89.099998,MICS 2015-16
101,Belize,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,93.900002,MICS 2015-16
102,Belize,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,97.5,MICS 2015-16
103,Belize,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,99.599998,MICS 2015-16
104,Belize,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,98.900002,MICS 2015-16
105,Belize,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,94.699997,MICS 2015-16
106,Belize,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,96.699997,MICS 2015-16
107,Belize,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,95.400002,MICS 2015-16
108,Bolivia (Plurinational State of),Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,93.387756,Encuesta de DemografÃ­a y Salud (EDSA) 2016
109,Bolivia (Plurinational State of),Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,91.487007,Encuesta de DemografÃ­a y Salud (EDSA) 2016
110,Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,85.663094,Encuesta de DemografÃ­a y Salud (EDSA) 2016
111,Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,95.802567,Encuesta de DemografÃ­a y Salud (EDSA) 2016
112,Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,92.354889,Encuesta de DemografÃ­a y Salud (EDSA) 2016
113,Brazil,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,96.5,PNAD 2019
114,Brazil,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,94.599998,PNAD 2019
115,Brazil,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,92.300003,PNAD 2019
116,Brazil,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,95.900002,PNAD 2019
117,Brazil,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,97.300003,PNAD 2019
118,Brazil,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,98.0,PNAD 2019
119,Brazil,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,98.599998,PNAD 2019
120,Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,92.099998,PNAD 2019
121,Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,96.199997,PNAD 2019
122,Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,95.5,PNAD 2019
123,Barbados,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2012.0,99.199997,MICS 2012
124,Barbados,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2012.0,98.699997,MICS 2012
125,Barbados,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2012.0,96.900002,MICS 2012
126,Barbados,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2012.0,98.400002,MICS 2012
127,Barbados,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2012.0,100.0,MICS 2012
128,Barbados,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2012.0,98.900002,MICS 2012
129,Barbados,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2012.0,100.0,MICS 2012
130,Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2012.0,98.800003,MICS 2012
131,Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2012.0,99.0,MICS 2012
132,Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2012.0,98.900002,MICS 2012
133,Botswana,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2017.0,97.699997,Botswana Demographic Survey 2017
134,Botswana,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2017.0,95.099998,Botswana Demographic Survey 2017
135,Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2017.0,92.599998,Botswana Demographic Survey 2017
136,Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2017.0,98.199997,Botswana Demographic Survey 2017
137,Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2017.0,96.400002,Botswana Demographic Survey 2017
138,Central African Republic,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,23.63912,MICS 2018-19
139,Central African Republic,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,29.80345,MICS 2018-19
140,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,8.8413658,MICS 2018-19
141,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,7.6387458,MICS 2018-19
142,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,13.30392,MICS 2018-19
143,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,30.97611,MICS 2018-19
144,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,56.812359,MICS 2018-19
145,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,10.07261,MICS 2018-19
146,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,48.535179,MICS 2018-19
147,Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,26.755501,MICS 2018-19
148,Chile,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2017.0,96.917068,CASEN 2017
149,Chile,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2017.0,95.68824,CASEN 2017
150,Chile,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2017.0,96.338058,CASEN 2017
151,Chile,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2017.0,96.279938,CASEN 2017
152,Chile,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2017.0,96.28756,CASEN 2017
153,China,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2015.0,97.0,National Population Sample Survey 2015
154,China,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2015.0,97.099998,National Population Sample Survey 2015
155,China,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2015.0,96.199997,National Population Sample Survey 2015
156,China,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2015.0,98.0,National Population Sample Survey 2015
157,China,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2015.0,97.099998,National Population Sample Survey 2015
158,Côte d'Ivoire,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2016.0,53.099998,MICS 2016
159,Côte d'Ivoire,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2016.0,59.700001,MICS 2016
160,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2016.0,23.9,MICS 2016
161,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2016.0,49.0,MICS 2016
162,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2016.0,53.900002,MICS 2016
163,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2016.0,66.599998,MICS 2016
164,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2016.0,74.599998,MICS 2016
165,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2016.0,39.400002,MICS 2016
166,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2016.0,69.900002,MICS 2016
167,Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2016.0,56.400002,MICS 2016
168,Cameroon,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2018.0,73.62265,DHS 2018
169,Cameroon,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2018.0,74.991524,DHS 2018
170,Cameroon,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2018.0,33.422569,DHS 2018
171,Cameroon,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2018.0,64.066689,DHS 2018
172,Cameroon,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2018.0,79.239357,DHS 2018
173,Cameroon,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2018.0,90.636147,DHS 2018
174,Cameroon,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2018.0,95.607826,DHS 2018
175,Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2018.0,58.41993,DHS 2018
176,Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2018.0,88.778961,DHS 2018
177,Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2018.0,74.272621,DHS 2018
178,Democratic Republic of the Congo,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2018.0,66.262306,MICS 2017-18
179,Democratic Republic of the Congo,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2018.0,67.099716,MICS 2017-18
180,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2018.0,41.619881,MICS 2017-18
181,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2018.0,53.444271,MICS 2017-18
182,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2018.0,62.734791,MICS 2017-18
183,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2018.0,74.536469,MICS 2017-18
184,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2018.0,92.833794,MICS 2017-18
185,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2018.0,53.14864,MICS 2017-18
186,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2018.0,81.134377,MICS 2017-18
187,Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2018.0,66.674828,MICS 2017-18
188,Congo,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2015.0,81.669937,MICS 2014-15
189,Congo,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2015.0,78.335167,MICS 2014-15
190,Congo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2015.0,41.535511,MICS 2014-15
191,Congo,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2015.0,71.363297,MICS 2014-15
192,Congo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2015.0,85.237137,MICS 2014-15
193,Congo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2015.0,92.464653,MICS 2014-15
194,Congo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2015.0,95.953079,MICS 2014-15
195,Congo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2015.0,54.92709,MICS 2014-15
196,Congo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2015.0,89.501907,MICS 2014-15
197,Congo,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2015.0,79.976921,MICS 2014-15
198,Colombia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2015.0,94.699997,DHS 2015
199,Colombia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2015.0,91.400002,DHS 2015
200,Colombia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2015.0,84.400002,DHS 2015
201,Colombia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2015.0,92.099998,DHS 2015
202,Colombia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2015.0,95.400002,DHS 2015
203,Colombia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2015.0,97.599998,DHS 2015
204,Colombia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2015.0,98.300003,DHS 2015
205,Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2015.0,86.5,DHS 2015
206,Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2015.0,95.400002,DHS 2015
207,Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2015.0,93.0,DHS 2015
208,Comoros,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2012.0,76.800003,DHS 2012
209,Comoros,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2012.0,75.099998,DHS 2012
210,Comoros,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2012.0,49.799999,DHS 2012
211,Comoros,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2012.0,71.0,DHS 2012
212,Comoros,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2012.0,80.199997,DHS 2012
213,Comoros,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2012.0,82.5,DHS 2012
214,Comoros,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2012.0,91.099998,DHS 2012
215,Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2012.0,71.099998,DHS 2012
216,Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2012.0,85.900002,DHS 2012
217,Comoros,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2012.0,76.0,DHS 2012
218,Costa Rica,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2018.0,98.637871,MICS 2018
219,Costa Rica,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2018.0,97.715027,MICS 2018
220,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2018.0,94.878838,MICS 2018
221,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2018.0,98.939796,MICS 2018
222,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2018.0,98.172302,MICS 2018
223,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2018.0,99.432426,MICS 2018
224,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2018.0,100.0,MICS 2018
225,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2018.0,97.851913,MICS 2018
226,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2018.0,98.307243,MICS 2018
227,Costa Rica,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2018.0,98.153358,MICS 2018
228,Cuba,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,99.840607,MICS 2019
229,Cuba,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,99.5,MICS 2019
230,Cuba,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,99.296417,MICS 2019
231,Cuba,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,99.392578,MICS 2019
232,Cuba,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,99.968727,MICS 2019
233,Cuba,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,99.888969,MICS 2019
234,Cuba,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,99.865044,MICS 2019
235,Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,2019.0,99.472397,MICS 2019
236,Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,2019.0,99.787148,MICS 2019
237,Cuba,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,2019.0,99.658493,MICS 2019
238,Dominican Republic,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,2019.0,93.310112,MICS 2019
239,Dominican Republic,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,2019.0,88.013199,MICS 2019
240,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,2019.0,78.63858,MICS 2019
241,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,2019.0,89.770088,MICS 2019
242,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,2019.0,92.400291,MICS 2019
243,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,2019.0,94.928833,MICS 2019
244,Dominican Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,2019.0,96.897141,MICS 2019
