Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Belize,Completion rate for youth of upper secondary education school age,Total,2016,49.200001,,%,,,,,,,,MICS 2015-16,,,,,,Total
Benin,Completion rate for youth of upper secondary education school age,Female,2018,5.4404368,,%,,,,,,,,DHS 2017-18,,,,,,Total
Benin,Completion rate for youth of upper secondary education school age,Male,2018,12.06018,,%,,,,,,,,DHS 2017-18,,,,,,Total
Benin,Completion rate for youth of upper secondary education school age,Total,2018,8.4086723,,%,,,,,,,,DHS 2017-18,,,,,,Total
Bolivia (Plurinational State of),Completion rate for youth of upper secondary education school age,Female,2016,65.402481,,%,,,,,,,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,,Total
Bolivia (Plurinational State of),Completion rate for youth of upper secondary education school age,Male,2016,66.120232,,%,,,,,,,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,,Total
Bolivia (Plurinational State of),Completion rate for youth of upper secondary education school age,Total,2016,65.755737,,%,,,,,,,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,,Total
Bosnia and Herzegovina,Completion rate for youth of upper secondary education school age,Female,2012,92,,%,,,,,,,,MICS 2011-12,,,,,,Total
Bosnia and Herzegovina,Completion rate for youth of upper secondary education school age,Male,2012,92.300003,,%,,,,,,,,MICS 2011-12,,,,,,Total
Bosnia and Herzegovina,Completion rate for youth of upper secondary education school age,Total,2012,92.199997,,%,,,,,,,,MICS 2011-12,,,,,,Total
Botswana,Completion rate for youth of upper secondary education school age,Female,2017,66.400002,,%,,,,,,,,Botswana Demographic Survey 2017,,,,,,Total
Botswana,Completion rate for youth of upper secondary education school age,Male,2017,55.400002,,%,,,,,,,,Botswana Demographic Survey 2017,,,,,,Total
Botswana,Completion rate for youth of upper secondary education school age,Total,2017,60.900002,,%,,,,,,,,Botswana Demographic Survey 2017,,,,,,Total
Brazil,Completion rate for youth of upper secondary education school age,Female,2019,74.699997,,%,,,,,,,,PNAD 2019,,,,,,Total
Brazil,Completion rate for youth of upper secondary education school age,Male,2019,64.699997,,%,,,,,,,,PNAD 2019,,,,,,Total
Brazil,Completion rate for youth of upper secondary education school age,Total,2019,69.699997,,%,,,,,,,,PNAD 2019,,,,,,Total
Burundi,Completion rate for youth of upper secondary education school age,Female,2017,3.4000001,,%,,,,,,,,DHS 2016-17,,,,,,Total
Burundi,Completion rate for youth of upper secondary education school age,Male,2017,3.5999999,,%,,,,,,,,DHS 2016-17,,,,,,Total
Burundi,Completion rate for youth of upper secondary education school age,Total,2017,3.5,,%,,,,,,,,DHS 2016-17,,,,,,Total
Cambodia,Completion rate for youth of upper secondary education school age,Female,2014,19.799999,,%,,,,,,,,DHS 2014,,,,,,Total
Cambodia,Completion rate for youth of upper secondary education school age,Male,2014,20.1,,%,,,,,,,,DHS 2014,,,,,,Total
Cambodia,Completion rate for youth of upper secondary education school age,Total,2014,19.9,,%,,,,,,,,DHS 2014,,,,,,Total
Cameroon,Completion rate for youth of upper secondary education school age,Female,2018,20.78063,,%,,,,,,,,DHS 2018,,,,,,Total
Cameroon,Completion rate for youth of upper secondary education school age,Male,2018,25.638069,,%,,,,,,,,DHS 2018,,,,,,Total
Cameroon,Completion rate for youth of upper secondary education school age,Total,2018,22.98877,,%,,,,,,,,DHS 2018,,,,,,Total
Central African Republic,Completion rate for youth of upper secondary education school age,Female,2019,5.1652322,,%,,,,,,,,MICS 2018-19,,,,,,Total
Central African Republic,Completion rate for youth of upper secondary education school age,Male,2019,7.5470662,,%,,,,,,,,MICS 2018-19,,,,,,Total
Central African Republic,Completion rate for youth of upper secondary education school age,Total,2019,6.217989,,%,,,,,,,,MICS 2018-19,,,,,,Total
Chad,Completion rate for youth of upper secondary education school age,Female,2019,2.7045281,,%,,,,,,,,MICS 2019,,,,,,Total
Chad,Completion rate for youth of upper secondary education school age,Male,2019,6.7123079,,%,,,,,,,,MICS 2019,,,,,,Total
Chad,Completion rate for youth of upper secondary education school age,Total,2019,4.4250321,,%,,,,,,,,MICS 2019,,,,,,Total
Chile,Completion rate for youth of upper secondary education school age,Female,2017,88.080391,,%,,,,,,,,CASEN 2017,,,,,,Total
Chile,Completion rate for youth of upper secondary education school age,Male,2017,83.068703,,%,,,,,,,,CASEN 2017,,,,,,Total
Chile,Completion rate for youth of upper secondary education school age,Total,2017,85.579773,,%,,,,,,,,CASEN 2017,,,,,,Total
China,Completion rate for youth of upper secondary education school age,Female,2015,67.300003,,%,,,,,,,,National Population Sample Survey 2015,,,,,,Total
China,Completion rate for youth of upper secondary education school age,Male,2015,63,,%,,,,,,,,National Population Sample Survey 2015,,,,,,Total
China,Completion rate for youth of upper secondary education school age,Total,2015,65,,%,,,,,,,,National Population Sample Survey 2015,,,,,,Total
Colombia,Completion rate for youth of upper secondary education school age,Female,2015,78.236473,,%,,,,,,,,DHS 2015,,,,,,Total
Colombia,Completion rate for youth of upper secondary education school age,Male,2015,69.195297,,%,,,,,,,,DHS 2015,,,,,,Total
Colombia,Completion rate for youth of upper secondary education school age,Total,2015,73.92572,,%,,,,,,,,DHS 2015,,,,,,Total
Comoros,Completion rate for youth of upper secondary education school age,Female,2012,31.700001,,%,,,,,,,,DHS 2012,,,,,,Total
Comoros,Completion rate for youth of upper secondary education school age,Male,2012,23.6,,%,,,,,,,,DHS 2012,,,,,,Total
Comoros,Completion rate for youth of upper secondary education school age,Total,2012,28.299999,,%,,,,,,,,DHS 2012,,,,,,Total
Congo,Completion rate for youth of upper secondary education school age,Female,2015,19.348619,,%,,,,,,,,MICS 2014-15,,,,,,Total
Congo,Completion rate for youth of upper secondary education school age,Male,2015,27.795321,,%,,,,,,,,MICS 2014-15,,,,,,Total
Congo,Completion rate for youth of upper secondary education school age,Total,2015,23.26103,,%,,,,,,,,MICS 2014-15,,,,,,Total
Costa Rica,Completion rate for youth of upper secondary education school age,Female,2018,60.406818,,%,,,,,,,,MICS 2018,,,,,,Total
Costa Rica,Completion rate for youth of upper secondary education school age,Male,2018,55.818001,,%,,,,,,,,MICS 2018,,,,,,Total
Costa Rica,Completion rate for youth of upper secondary education school age,Total,2018,57.958618,,%,,,,,,,,MICS 2018,,,,,,Total
Cuba,Completion rate for youth of upper secondary education school age,Female,2019,63.468102,,%,,,,,,,,MICS 2019,,,,,,Total
Cuba,Completion rate for youth of upper secondary education school age,Male,2019,54.493649,,%,,,,,,,,MICS 2019,,,,,,Total
Cuba,Completion rate for youth of upper secondary education school age,Total,2019,58.634781,,%,,,,,,,,MICS 2019,,,,,,Total
Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Female,2017,14.6,,%,,,,,,,,MICS 2016-17,,,,,,Total
Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Male,2017,17.200001,,%,,,,,,,,MICS 2016-17,,,,,,Total
Côte d'Ivoire,Completion rate for youth of upper secondary education school age,Total,2017,15.8,,%,,,,,,,,MICS 2016-17,,,,,,Total
Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Female,2017,100,,%,,,,,,,,MICS 2017,,,,,,Total
Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Male,2017,99.699997,,%,,,,,,,,MICS 2017,,,,,,Total
Democratic People's Republic of Korea,Completion rate for youth of upper secondary education school age,Total,2017,99.900002,,%,,,,,,,,MICS 2017,,,,,,Total
Democratic Republic of the Congo,Completion rate for youth of upper secondary education school age,Female,2018,26.74103,,%,,,,,,,,MICS 2017-18,,,,,,Total
Democratic Republic of the Congo,Completion rate for youth of upper secondary education school age,Male,2018,36.384041,,%,,,,,,,,MICS 2017-18,,,,,,Total
Democratic Republic of the Congo,Completion rate for youth of upper secondary education school age,Total,2018,31.136499,,%,,,,,,,,MICS 2017-18,,,,,,Total
Dominican Republic,Completion rate for youth of upper secondary education school age,Female,2019,71.418953,,%,,,,,,,,MICS 2019,,,,,,Total
Dominican Republic,Completion rate for youth of upper secondary education school age,Male,2019,50.961128,,%,,,,,,,,MICS 2019,,,,,,Total
Dominican Republic,Completion rate for youth of upper secondary education school age,Total,2019,60.69688,,%,,,,,,,,MICS 2019,,,,,,Total
East Asia and Pacific,Completion rate for youth of upper secondary education school age,Female,2022,65.576294,,%,,,,,,,,UNICEF Global Database,,,,,,Total
East Asia and Pacific,Completion rate for youth of upper secondary education school age,Male,2022,61.60627,,%,,,,,,,,UNICEF Global Database,,,,,,Total
East Asia and Pacific,Completion rate for youth of upper secondary education school age,Total,2022,63.470597,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Eastern Europe and Central Asia,Completion rate for youth of upper secondary education school age,Female,2022,60.427822,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Eastern Europe and Central Asia,Completion rate for youth of upper secondary education school age,Male,2022,65.875721,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Eastern Europe and Central Asia,Completion rate for youth of upper secondary education school age,Total,2022,63.158592,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Eastern and Southern Africa,Completion rate for youth of upper secondary education school age,Female,2022,23.465614,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Eastern and Southern Africa,Completion rate for youth of upper secondary education school age,Male,2022,25.78399,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Eastern and Southern Africa,Completion rate for youth of upper secondary education school age,Total,2022,24.483467,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Ecuador,Completion rate for youth of upper secondary education school age,Female,2019,79.400002,,%,,,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,,Total
Ecuador,Completion rate for youth of upper secondary education school age,Male,2019,77.699997,,%,,,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,,Total
Ecuador,Completion rate for youth of upper secondary education school age,Total,2019,78.5,,%,,,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,,,,,,Total
Egypt,Completion rate for youth of upper secondary education school age,Female,2014,40.901009,,%,,,,,,,,DHS 2014,,,,,,Total
Egypt,Completion rate for youth of upper secondary education school age,Male,2014,43.02034,,%,,,,,,,,DHS 2014,,,,,,Total
Egypt,Completion rate for youth of upper secondary education school age,Total,2014,41.8937,,%,,,,,,,,DHS 2014,,,,,,Total
El Salvador,Completion rate for youth of upper secondary education school age,Female,2014,36.299999,,%,,,,,,,,MICS 2014,,,,,,Total
El Salvador,Completion rate for youth of upper secondary education school age,Male,2014,33.5,,%,,,,,,,,MICS 2014,,,,,,Total
El Salvador,Completion rate for youth of upper secondary education school age,Total,2014,35,,%,,,,,,,,MICS 2014,,,,,,Total
Eswatini,Completion rate for youth of upper secondary education school age,Female,2014,33.314919,,%,,,,,,,,MICS 2014,,,,,,Total
Eswatini,Completion rate for youth of upper secondary education school age,Male,2014,31.15066,,%,,,,,,,,MICS 2014,,,,,,Total
Eswatini,Completion rate for youth of upper secondary education school age,Total,2014,32.277821,,%,,,,,,,,MICS 2014,,,,,,Total
Ethiopia,Completion rate for youth of upper secondary education school age,Female,2016,13.56329,,%,,,,,,,,DHS 2016,,,,,,Total
Ethiopia,Completion rate for youth of upper secondary education school age,Male,2016,10.55048,,%,,,,,,,,DHS 2016,,,,,,Total
Ethiopia,Completion rate for youth of upper secondary education school age,Total,2016,12.27563,,%,,,,,,,,DHS 2016,,,,,,Total
Gabon,Completion rate for youth of upper secondary education school age,Female,2012,13.78477,,%,,,,,,,,DHS 2012,,,,,,Total
Gabon,Completion rate for youth of upper secondary education school age,Male,2012,13.69669,,%,,,,,,,,DHS 2012,,,,,,Total
Gabon,Completion rate for youth of upper secondary education school age,Total,2012,13.74806,,%,,,,,,,,DHS 2012,,,,,,Total
Gambia,Completion rate for youth of upper secondary education school age,Female,2013,28.23843,,%,,,,,,,,DHS 2013,,,,,,Total
Gambia,Completion rate for youth of upper secondary education school age,Male,2013,32.780609,,%,,,,,,,,DHS 2013,,,,,,Total
Gambia,Completion rate for youth of upper secondary education school age,Total,2013,30.369619,,%,,,,,,,,DHS 2013,,,,,,Total
Georgia,Completion rate for youth of upper secondary education school age,Female,2018,82.90712,,%,,,,,,,,MICS 2018,,,,,,Total
Georgia,Completion rate for youth of upper secondary education school age,Male,2018,79.081383,,%,,,,,,,,MICS 2018,,,,,,Total
Georgia,Completion rate for youth of upper secondary education school age,Total,2018,80.900002,,%,,,,,,,,MICS 2018,,,,,,Total
Ghana,Completion rate for youth of upper secondary education school age,Female,2018,8.7223024,,%,,,,,,,,MICS 2017-18,,,,,,Total
Ghana,Completion rate for youth of upper secondary education school age,Male,2018,11.68049,,%,,,,,,,,MICS 2017-18,,,,,,Total
Ghana,Completion rate for youth of upper secondary education school age,Total,2018,10.04279,,%,,,,,,,,MICS 2017-18,,,,,,Total
Guatemala,Completion rate for youth of upper secondary education school age,Female,2015,25.43832,,%,,,,,,,,DHS 2014-15,,,,,,Total
Guatemala,Completion rate for youth of upper secondary education school age,Male,2015,27.17853,,%,,,,,,,,DHS 2014-15,,,,,,Total
Guatemala,Completion rate for youth of upper secondary education school age,Total,2015,26.215269,,%,,,,,,,,DHS 2014-15,,,,,,Total
Guinea,Completion rate for youth of upper secondary education school age,Female,2018,12.5451,,%,,,,,,,,DHS 2018,,,,,,Total
Guinea,Completion rate for youth of upper secondary education school age,Male,2018,22.02212,,%,,,,,,,,DHS 2018,,,,,,Total
Guinea,Completion rate for youth of upper secondary education school age,Total,2018,16.25728,,%,,,,,,,,DHS 2018,,,,,,Total
Guinea-Bissau,Completion rate for youth of upper secondary education school age,Female,2019,8.1030951,,%,,,,,,,,MICS 2018-19,,,,,,Total
Guinea-Bissau,Completion rate for youth of upper secondary education school age,Male,2019,13.71268,,%,,,,,,,,MICS 2018-19,,,,,,Total
Guinea-Bissau,Completion rate for youth of upper secondary education school age,Total,2019,10.77863,,%,,,,,,,,MICS 2018-19,,,,,,Total
Guyana,Completion rate for youth of upper secondary education school age,Female,2020,67.787537,,%,,,,,,,,MICS 2019-20,,,,,,Total
Guyana,Completion rate for youth of upper secondary education school age,Male,2020,53.666962,,%,,,,,,,,MICS 2019-20,,,,,,Total
Guyana,Completion rate for youth of upper secondary education school age,Total,2020,61.344212,,%,,,,,,,,MICS 2019-20,,,,,,Total
Haiti,Completion rate for youth of upper secondary education school age,Female,2017,16.480619,,%,,,,,,,,DHS 2016-17,,,,,,Total
Haiti,Completion rate for youth of upper secondary education school age,Male,2017,17.08531,,%,,,,,,,,DHS 2016-17,,,,,,Total
Haiti,Completion rate for youth of upper secondary education school age,Total,2017,16.754721,,%,,,,,,,,DHS 2016-17,,,,,,Total
Honduras,Completion rate for youth of upper secondary education school age,Female,2019,36.66938,,%,,,,,,,,MICS 2019,,,,,,Total
Honduras,Completion rate for youth of upper secondary education school age,Male,2019,29.18779,,%,,,,,,,,MICS 2019,,,,,,Total
Honduras,Completion rate for youth of upper secondary education school age,Total,2019,33.002911,,%,,,,,,,,MICS 2019,,,,,,Total
India,Completion rate for youth of upper secondary education school age,Female,2016,39.676998,,%,,,,,,,,DHS 2015-16,,,,,,Total
India,Completion rate for youth of upper secondary education school age,Male,2016,46.471001,,%,,,,,,,,DHS 2015-16,,,,,,Total
India,Completion rate for youth of upper secondary education school age,Total,2016,42.951,,%,,,,,,,,DHS 2015-16,,,,,,Total
Indonesia,Completion rate for youth of upper secondary education school age,Female,2017,62.74955,,%,,,,,,,,DHS 2017,,,,,,Total
Indonesia,Completion rate for youth of upper secondary education school age,Male,2017,63.55323,,%,,,,,,,,DHS 2017,,,,,,Total
Indonesia,Completion rate for youth of upper secondary education school age,Total,2017,63.147881,,%,,,,,,,,DHS 2017,,,,,,Total
Iraq,Completion rate for youth of upper secondary education school age,Female,2018,43.299999,,%,,,,,,,,MICS 2018,,,,,,Total
Iraq,Completion rate for youth of upper secondary education school age,Male,2018,45.200001,,%,,,,,,,,MICS 2018,,,,,,Total
Iraq,Completion rate for youth of upper secondary education school age,Total,2018,44.299999,,%,,,,,,,,MICS 2018,,,,,,Total
Jordan,Completion rate for youth of upper secondary education school age,Female,2018,63.370548,,%,,,,,,,,DHS 2017-18,,,,,,Total
Jordan,Completion rate for youth of upper secondary education school age,Male,2018,48.789242,,%,,,,,,,,DHS 2017-18,,,,,,Total
Jordan,Completion rate for youth of upper secondary education school age,Total,2018,55.72213,,%,,,,,,,,DHS 2017-18,,,,,,Total
Kazakhstan,Completion rate for youth of upper secondary education school age,Female,2015,95.699997,,%,,,,,,,,MICS 2015,,,,,,Total
Kazakhstan,Completion rate for youth of upper secondary education school age,Male,2015,94.699997,,%,,,,,,,,MICS 2015,,,,,,Total
Kazakhstan,Completion rate for youth of upper secondary education school age,Total,2015,95.199997,,%,,,,,,,,MICS 2015,,,,,,Total
Kenya,Completion rate for youth of upper secondary education school age,Female,2014,38.200001,,%,,,,,,,,DHS 2014,,,,,,Total
Kenya,Completion rate for youth of upper secondary education school age,Male,2014,43.900002,,%,,,,,,,,DHS 2014,,,,,,Total
Kenya,Completion rate for youth of upper secondary education school age,Total,2014,40.799999,,%,,,,,,,,DHS 2014,,,,,,Total
Kiribati,Completion rate for youth of upper secondary education school age,Female,2019,20.356689,,%,,,,,,,,MICS 2018-19,,,,,,Total
Kiribati,Completion rate for youth of upper secondary education school age,Male,2019,12.67272,,%,,,,,,,,MICS 2018-19,,,,,,Total
Kiribati,Completion rate for youth of upper secondary education school age,Total,2019,16.509899,,%,,,,,,,,MICS 2018-19,,,,,,Total
Kosovo,Completion rate for youth of upper secondary education school age,Female,2020,86.6,,%,,,,,,,,MICS 2019-20,,,,,,Total
Kosovo,Completion rate for youth of upper secondary education school age,Male,2020,87.9,,%,,,,,,,,MICS 2019-20,,,,,,Total
Kosovo,Completion rate for youth of upper secondary education school age,Total,2020,87.2,,%,,,,,,,,MICS 2019-20,,,,,,Total
Kyrgyzstan,Completion rate for youth of upper secondary education school age,Female,2018,84.900002,,%,,,,,,,,MICS 2018,,,,,,Total
Kyrgyzstan,Completion rate for youth of upper secondary education school age,Male,2018,89.099998,,%,,,,,,,,MICS 2018,,,,,,Total
Kyrgyzstan,Completion rate for youth of upper secondary education school age,Total,2018,86.800003,,%,,,,,,,,MICS 2018,,,,,,Total
Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Female,2017,30.57342,,%,,,,,,,,MICS 2017,,,,,,Total
Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Male,2017,31.56905,,%,,,,,,,,MICS 2017,,,,,,Total
Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Total,2017,31.058281,,%,,,,,,,,MICS 2017,,,,,,Total
Latin America and Caribbean,Completion rate for youth of upper secondary education school age,Female,2022,66.07252,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Latin America and Caribbean,Completion rate for youth of upper secondary education school age,Male,2022,59.458983,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Latin America and Caribbean,Completion rate for youth of upper secondary education school age,Total,2022,62.787934,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Least developed countries,Completion rate for youth of upper secondary education school age,Female,2022,19.356057,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Least developed countries,Completion rate for youth of upper secondary education school age,Male,2022,24.375379,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Least developed countries,Completion rate for youth of upper secondary education school age,Total,2022,21.653922,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Lesotho,Completion rate for youth of upper secondary education school age,Female,2018,36.900002,,%,,,,,,,,MICS 2018,,,,,,Total
Lesotho,Completion rate for youth of upper secondary education school age,Male,2018,26.700001,,%,,,,,,,,MICS 2018,,,,,,Total
Lesotho,Completion rate for youth of upper secondary education school age,Total,2018,31.799999,,%,,,,,,,,MICS 2018,,,,,,Total
Liberia,Completion rate for youth of upper secondary education school age,Female,2013,9.3999996,,%,,,,,,,,DHS 2013,,,,,,Total
Liberia,Completion rate for youth of upper secondary education school age,Male,2013,18,,%,,,,,,,,DHS 2013,,,,,,Total
Liberia,Completion rate for youth of upper secondary education school age,Total,2013,13.4,,%,,,,,,,,DHS 2013,,,,,,Total
Madagascar,Completion rate for youth of upper secondary education school age,Female,2018,15,,%,,,,,,,,MICS 2018,,,,,,Total
Madagascar,Completion rate for youth of upper secondary education school age,Male,2018,15.5,,%,,,,,,,,MICS 2018,,,,,,Total
Madagascar,Completion rate for youth of upper secondary education school age,Total,2018,15.3,,%,,,,,,,,MICS 2018,,,,,,Total
Malawi,Completion rate for youth of upper secondary education school age,Female,2016,12.9,,%,,,,,,,,DHS 2015-16,,,,,,Total
Malawi,Completion rate for youth of upper secondary education school age,Male,2016,15.3,,%,,,,,,,,DHS 2015-16,,,,,,Total
Malawi,Completion rate for youth of upper secondary education school age,Total,2016,14,,%,,,,,,,,DHS 2015-16,,,,,,Total
Mali,Completion rate for youth of upper secondary education school age,Female,2015,11.8,,%,,,,,,,,MICS 2015,,,,,,Total
Mali,Completion rate for youth of upper secondary education school age,Male,2015,23.1,,%,,,,,,,,MICS 2015,,,,,,Total
Mali,Completion rate for youth of upper secondary education school age,Total,2015,16.799999,,%,,,,,,,,MICS 2015,,,,,,Total
Mauritania,Completion rate for youth of upper secondary education school age,Female,2015,23.235689,,%,,,,,,,,MICS 2015,,,,,,Total
Mauritania,Completion rate for youth of upper secondary education school age,Male,2015,31.298059,,%,,,,,,,,MICS 2015,,,,,,Total
Mauritania,Completion rate for youth of upper secondary education school age,Total,2015,26.626789,,%,,,,,,,,MICS 2015,,,,,,Total
Mexico,Completion rate for youth of upper secondary education school age,Female,2018,60.400002,,%,,,,,,,,ENIGH 2018,,,,,,Total
Mexico,Completion rate for youth of upper secondary education school age,Male,2018,55.900002,,%,,,,,,,,ENIGH 2018,,,,,,Total
Mexico,Completion rate for youth of upper secondary education school age,Total,2018,58.200001,,%,,,,,,,,ENIGH 2018,,,,,,Total
Middle East and North Africa,Completion rate for youth of upper secondary education school age,Female,2022,43.567713,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Middle East and North Africa,Completion rate for youth of upper secondary education school age,Male,2022,41.588816,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Middle East and North Africa,Completion rate for youth of upper secondary education school age,Total,2022,42.388599,,%,,,,,,,,UNICEF Global Database,,,,,,Total
Mongolia,Completion rate for youth of upper secondary education school age,Female,2014,73.10305,,%,,,,,,,,MICS 2013-14,,,,,,Total
Mongolia,Completion rate for youth of upper secondary education school age,Male,2014,60.067669,,%,,,,,,,,MICS 2013-14,,,,,,Total
Mongolia,Completion rate for youth of upper secondary education school age,Total,2014,66.150703,,%,,,,,,,,MICS 2013-14,,,,,,Total
Montenegro,Completion rate for youth of upper secondary education school age,Female,2018,89.916656,,%,,,,,,,,MICS 2018,,,,,,Total
Montenegro,Completion rate for youth of upper secondary education school age,Male,2018,82.537247,,%,,,,,,,,MICS 2018,,,,,,Total
Montenegro,Completion rate for youth of upper secondary education school age,Total,2018,86.245087,,%,,,,,,,,MICS 2018,,,,,,Total
Myanmar,Completion rate for youth of upper secondary education school age,Female,2015,19.25675,,%,,,,,,,,DHS 2015,,,,,,Total
Myanmar,Completion rate for youth of upper secondary education school age,Male,2015,13.85098,,%,,,,,,,,DHS 2015,,,,,,Total
Myanmar,Completion rate for youth of upper secondary education school age,Total,2015,16.796431,,%,,,,,,,,DHS 2015,,,,,,Total
Namibia,Completion rate for youth of upper secondary education school age,Female,2013,39.099998,,%,,,,,,,,DHS 2013,,,,,,Total
Namibia,Completion rate for youth of upper secondary education school age,Male,2013,33.200001,,%,,,,,,,,DHS 2013,,,,,,Total
Namibia,Completion rate for youth of upper secondary education school age,Total,2013,36.400002,,%,,,,,,,,DHS 2013,,,,,,Total
