Geographic area,Indicator,Sex,Education Level,Wealth Quintile,Residence,Unit of measure,Unit multiplier,SOURCE_LINK,SERIES_FOOTNOTE,TIME_PERIOD,OBS_VALUE,Observation Status,DATA_SOURCE,Observation confidentaility,Time period activity related to when the data are collected,COVERAGE_TIME,OBS_FOOTNOTE,Time interval at which the source data are collected
Armenia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,99.11264,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,99.389252,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2016,98.662193,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2016,99.730026,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2016,97.958351,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2016,100,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2016,100,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,99.545982,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,99.073601,,DHS 2015-16,,,,,Not Known
Armenia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,99.266441,,DHS 2015-16,,,,,Not Known
Burundi,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2017,54.099998,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2017,46,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2017,26.4,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2017,38.799999,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2017,53.799999,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2017,56.799999,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2017,64.400002,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2017,47.299999,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2017,69.900002,,DHS 2016-17,,,,,Not Known
Burundi,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2017,50.099998,,DHS 2016-17,,,,,Not Known
Benin,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,44.196468,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,51.01598,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,21.070881,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,33.132561,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,44.974689,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,57.51981,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,75.793213,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,40.52256,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,58.064789,,DHS 2017-18,,,,,Not Known
Benin,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,47.672329,,DHS 2017-18,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,89.099998,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,76.300003,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,70.400002,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,79.900002,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,86.599998,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,86.699997,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,91.5,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,82.5,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,83,,MICS 2019,,,,,Not Known
Bangladesh,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,82.599998,,MICS 2019,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2012,99.900002,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2012,99.199997,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2012,99.800003,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2012,100,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2012,98,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2012,100,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2012,100,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2012,99.400002,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2012,100,,MICS 2011-12,,,,,Not Known
Bosnia and Herzegovina,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2012,99.599998,,MICS 2011-12,,,,,Not Known
Belarus,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2020,100,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2020,99.864349,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2020,100,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2020,100,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2020,100,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2020,100,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2020,99.63266,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2020,100,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2020,99.896797,,MICS 2019,,,,,
Belarus,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2020,99.932289,,MICS 2019,,,,,
Belize,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,96,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,94.800003,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2016,89.099998,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2016,93.900002,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2016,97.5,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2016,99.599998,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2016,98.900002,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,94.699997,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,96.699997,,MICS 2015-16,,,,,Not Known
Belize,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,95.400002,,MICS 2015-16,,,,,Not Known
Bolivia (Plurinational State of),Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,93.387756,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,
Bolivia (Plurinational State of),Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,91.487007,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,
Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,85.663094,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,
Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,95.802567,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,
Bolivia (Plurinational State of),Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,92.354889,,Encuesta de DemografÃ­a y Salud (EDSA) 2016,,,,,
Brazil,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,96.5,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,94.599998,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,92.300003,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,95.900002,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,97.300003,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,98,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,98.599998,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,92.099998,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,96.199997,,PNAD 2019,,,,,Not Known
Brazil,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,95.5,,PNAD 2019,,,,,Not Known
Barbados,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2012,99.199997,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2012,98.699997,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2012,96.900002,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2012,98.400002,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2012,100,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2012,98.900002,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2012,100,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2012,98.800003,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2012,99,,MICS 2012,,,,,Not Known
Barbados,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2012,98.900002,,MICS 2012,,,,,Not Known
Botswana,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2017,97.699997,,Botswana Demographic Survey 2017,,,,,Not Known
Botswana,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2017,95.099998,,Botswana Demographic Survey 2017,,,,,Not Known
Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2017,92.599998,,Botswana Demographic Survey 2017,,,,,Not Known
Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2017,98.199997,,Botswana Demographic Survey 2017,,,,,Not Known
Botswana,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2017,96.400002,,Botswana Demographic Survey 2017,,,,,Not Known
Central African Republic,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2019,23.63912,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2019,29.80345,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2019,8.8413658,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2019,7.6387458,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2019,13.30392,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2019,30.97611,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2019,56.812359,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2019,10.07261,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2019,48.535179,,MICS 2018-19,,,,,
Central African Republic,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2019,26.755501,,MICS 2018-19,,,,,
Chile,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2017,96.917068,,CASEN 2017,,,,,Not Known
Chile,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2017,95.68824,,CASEN 2017,,,,,Not Known
Chile,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2017,96.338058,,CASEN 2017,,,,,Not Known
Chile,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2017,96.279938,,CASEN 2017,,,,,Not Known
Chile,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2017,96.28756,,CASEN 2017,,,,,Not Known
China,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2015,97,,National Population Sample Survey 2015,,,,,Not Known
China,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2015,97.099998,,National Population Sample Survey 2015,,,,,Not Known
China,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2015,96.199997,,National Population Sample Survey 2015,,,,,Not Known
China,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2015,98,,National Population Sample Survey 2015,,,,,Not Known
China,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2015,97.099998,,National Population Sample Survey 2015,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2016,53.099998,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2016,59.700001,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2016,23.9,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2016,49,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2016,53.900002,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2016,66.599998,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2016,74.599998,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2016,39.400002,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2016,69.900002,,MICS 2016,,,,,Not Known
Côte d'Ivoire,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2016,56.400002,,MICS 2016,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,73.62265,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,74.991524,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,33.422569,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,64.066689,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,79.239357,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,90.636147,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,95.607826,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,58.41993,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,88.778961,,DHS 2018,,,,,Not Known
Cameroon,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,74.272621,,DHS 2018,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2018,66.262306,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2018,67.099716,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2018,41.619881,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2018,53.444271,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2018,62.734791,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2018,74.536469,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2018,92.833794,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2018,53.14864,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2018,81.134377,,MICS 2017-18,,,,,Not Known
Democratic Republic of the Congo,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2018,66.674828,,MICS 2017-18,,,,,Not Known
Congo,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2015,81.669937,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2015,78.335167,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2015,41.535511,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2015,71.363297,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2015,85.237137,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2015,92.464653,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2015,95.953079,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2015,54.92709,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2015,89.501907,,MICS 2014-15,,,,,Not Known
Congo,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2015,79.976921,,MICS 2014-15,,,,,Not Known
Colombia,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2015,94.699997,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2015,91.400002,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Lowest,Total,%,,,,2015,84.400002,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Second,Total,%,,,,2015,92.099998,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Middle,Total,%,,,,2015,95.400002,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Fourth,Total,%,,,,2015,97.599998,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Highest,Total,%,,,,2015,98.300003,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Rural,%,,,,2015,86.5,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Urban,%,,,,2015,95.400002,,DHS 2015,,,,,Not Known
Colombia,Completion rate for children of primary school age,Total,Primary education,Total,Total,%,,,,2015,93,,DHS 2015,,,,,Not Known
Comoros,Completion rate for children of primary school age,Female,Primary education,Total,Total,%,,,,2012,76.800003,,DHS 2012,,,,,Not Known
Comoros,Completion rate for children of primary school age,Male,Primary education,Total,Total,%,,,,2012,75.099998,,DHS 2012,,,,,Not Known
