Europe & Central Asia (IDA & IBRD countries),TEC,9842.052265
Togo,TGO,973.2061291
Thailand,THA,7066.190546
Tajikistan,TJK,897.0475103
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8108.91587
Timor-Leste,TLS,2741.393931
Middle East & North Africa (IDA & IBRD countries),TMN,3564.066025
Tonga,TON,4426.000637
South Asia (IDA & IBRD),TSA,2149.821595
Sub-Saharan Africa (IDA & IBRD countries),TSS,1626.277926
Trinidad and Tobago,TTO,16032.50277
Tunisia,TUN,3807.13915
Turkiye,TUR,9661.235975
Tuvalu,TUV,5632.002993
Tanzania,TZA,1099.287598
Uganda,UGA,883.8920323
Ukraine,UKR,4835.571777
Upper middle income,UMC,10828.05069
Uruguay,URY,17313.18835
United States,USA,70248.629
Uzbekistan,UZB,1983.064723
St. Vincent and the Grenadines,VCT,8666.387041
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,3756.489121
Vanuatu,VUT,2996.621062
World,WLD,12234.7968
Samoa,WSM,3857.318464
Kosovo,XKX,5269.783901
"Yemen, Rep.",YEM,
South Africa,ZAF,7055.044776
Zambia,ZMB,1137.343633
Zimbabwe,ZWE,1773.920411
